value,time
-9.391435,0.76
-1.782983,0.765
2.720378,0.77
4.009974,0.775
-0.1632075,0.78
-4.654333,0.785
2.919299,0.79
-4.851895,0.795
4.262016,0.8
7.391435,0.805
-9.297207,0.81
-1.782983,0.815
2.689153,0.82
4,0.825
-0.1584803,0.83
-4.684829,0.835
3.007669,0.84
-4.919299,0.845
4,0.85
7.391435,0.855
-9.391435,0.86
-1.720743,0.865
2.689153,0.87
4,0.875
-0.1701329,0.88
-4.689153,0.885
2.919299,0.89
-4.863261,0.895
4.002833,0.9
7.408927,0.905
-9.272005,0.91
-1.675392,0.915
2.690512,0.92
4,0.925
-0.2170171,0.93
-4.656577,0.935
3.151607,0.94
-4.813591,0.945
4.023496,0.95
7.391435,0.955
-9.391435,0.96
-1.782983,0.965
2.689153,0.97
4.042739,0.975
-0.09166763,0.98
-4.677094,0.985
2.919299,0.99
-4.78301,0.995
4,1
7.391435,1.005
-9.297838,1.01
-1.781432,1.015
5.626704,1.02
10,1.025
8.735906,1.03
6.310847,1.035
16.85736,1.04
10.02231,1.045
18.93813,1.05
22.39144,1.055
3.608565,1.06
10.21702,1.065
12.68915,1.07
12,1.075
5.77115,1.08
0.310847,1.085
5.907849,1.09
-2.919299,1.095
6,1.1
7.391435,1.105
-7.391435,1.11
0.1447267,1.115
4.537737,1.12
6,1.125
1.782983,1.13
-1.689153,1.135
5.835804,1.14
-1.998811,1.145
7.951925,1.15
11.29186,1.155
-5.391435,1.16
2.217017,1.165
6.62484,1.17
8,1.175
3.782983,1.18
-0.689153,1.185
6.919299,1.19
-0.9192991,1.195
10.85029,1.2
19.31645,1.205
11.60857,1.21
32.19821,1.215
54.68915,1.22
77,1.225
91.68184,1.23
99.31084,1.235
108.8768,1.24
91.93429,1.245
82,1.25
61.30803,1.255
18.55928,1.26
4.084095,1.265
-8.310847,1.27
-18.95505,1.275
-17.05887,1.28
-14.68915,1.285
-2.045169,1.29
-5.86596,1.295
4.105396,1.3
9.391435,1.305
-6.501023,1.31
0.2170171,1.315
4.689153,1.32
6,1.325
1.782983,1.33
-4.566504,1.335
3.154679,1.34
-4.919299,1.345
4,1.35
7.391435,1.355
-9.391435,1.36
-1.782983,1.365
2.832376,1.37
4.006929,1.375
-0.1199586,1.38
-4.524662,1.385
2.919299,1.39
-2.959261,1.395
5.869288,1.4
10.36471,1.405
-6.461905,1.41
2.196089,1.415
-0.310847,1.42
8.928164,1.425
4.669515,1.43
1.274078,1.435
9.919299,1.44
2.992134,1.445
13,1.45
17.37802,1.455
1.583499,1.46
9.217017,1.465
14.68915,1.47
16,1.475
12.78298,1.48
8.310847,1.485
15.9193,1.49
9.080701,1.495
18.9457,1.5
24.24318,1.505
9.608565,1.51
19.14783,1.515
25.68915,1.52
28.91795,1.525
27.65864,1.53
25.1715,1.535
34.9193,1.54
30.0807,1.545
42,1.55
47.39143,1.555
33.60857,1.56
43.21702,1.565
50.68915,1.57
53.92287,1.575
52.76809,1.58
50.24448,1.585
58.9193,1.59
52.0807,1.595
61.96827,1.6
65.39143,1.605
49.509,1.61
57.21702,1.615
60.68915,1.62
62,1.625
56.78298,1.63
52.31085,1.635
57.78613,1.64
47.93461,1.645
55,1.65
55.32242,1.655
34.58545,1.66
39.13108,1.665
39.68915,1.67
38,1.675
29.78298,1.68
22.31085,1.685
26.9193,1.69
16.0807,1.695
21.88403,1.7
22.39144,1.705
3.515408,1.71
9.058072,1.715
11.68915,1.72
12,1.725
5.717689,1.73
-0.689153,1.735
5.919299,1.74
-3.125302,1.745
5.929445,1.75
7.445367,1.755
-9.386881,1.76
-1.782983,1.765
2.689153,1.77
4,1.775
-0.2078838,1.78
-4.689153,1.785
2.945833,1.79
-4.765394,1.795
4,1.8
7.436314,1.805
-9.25607,1.81
-1.743948,1.815
2.749059,1.82
4,1.825
-0.2170171,1.83
-4.689153,1.835
2.919299,1.84
-4.919299,1.845
4,1.85
7.53716,1.855
-9.391435,1.86
-1.718989,1.865
2.727684,1.87
4,1.875
-0.2170171,1.88
-4.689153,1.885
2.947893,1.89
-4.919299,1.895
4.07695,1.9
7.391435,1.905
-9.391435,1.91
-1.77235,1.915
2.800258,1.92
4.027542,1.925
-0.2170171,1.93
-4.689153,1.935
3.047111,1.94
-4.826869,1.945
4,1.95
7.391435,1.955
-9.391435,1.96
-1.74865,1.965
2.689153,1.97
4,1.975
-0.2170171,1.98
-4.689153,1.985
2.919299,1.99
-4.919299,1.995
4,2
7.391435,2.005
-9.316776,2.01
-1.782983,2.015
5.689153,2.02
9.96666,2.025
8.753195,2.03
6.310847,2.035
16.9193,2.04
10.04147,2.045
18.9183,2.05
22.34071,2.055
3.608565,2.06
10.21702,2.065
12.68915,2.07
11.95171,2.075
5.782983,2.08
0.310847,2.085
5.878133,2.09
-2.919299,2.095
5.964572,2.1
7.482264,2.105
-7.391435,2.11
0.2170171,2.115
4.681686,2.12
6,2.125
1.603617,2.13
-1.689153,2.135
5.919299,2.14
-1.919299,2.145
7.912514,2.15
11.25142,2.155
-5.654273,2.16
2.217017,2.165
6.689153,2.17
7.956567,2.175
3.782983,2.18
-0.7522506,2.185
6.789171,2.19
-0.9328679,2.195
11,2.2
19.39144,2.205
11.60857,2.21
32.14165,2.215
54.53785,2.22
76.94233,2.225
91.64761,2.23
99.31084,2.235
108.9099,2.24
91.8964,2.245
82,2.25
61.30019,2.255
18.60856,2.26
4.217017,2.265
-8.286923,2.27
-19,2.275
-17.16372,2.28
-14.68166,2.285
-2.058084,2.29
-5.919299,2.295
4.065338,2.3
9.148515,2.305
-6.391435,2.31
0.2170171,2.315
4.671086,2.32
6,2.325
1.724433,2.33
-4.670878,2.335
2.919299,2.34
-4.803796,2.345
4.047994,2.35
7.530028,2.355
-9.391435,2.36
-1.782983,2.365
2.721483,2.37
4.145839,2.375
-0.2170171,2.38
-4.689153,2.385
3.046974,2.39
-2.919299,2.395
5.980523,2.4
10.39143,2.405
-6.391435,2.41
2.217017,2.415
-0.310847,2.42
8.95328,2.425
4.75837,2.43
1.310847,2.435
9.903234,2.44
3.080701,2.445
12.96703,2.45
17.32085,2.455
1.608565,2.46
9.217017,2.465
14.68915,2.47
15.79161,2.475
12.76898,2.48
8.128494,2.485
15.9193,2.49
9.080701,2.495
19,2.5
24.39144,2.505
9.608565,2.51
19.21702,2.515
25.68449,2.52
28.99715,2.525
27.78298,2.53
25.31085,2.535
34.87321,2.54
29.90197,2.545
41.77147,2.55
47.23018,2.555
33.50956,2.56
43.21702,2.565
50.61257,2.57
53.99247,2.575
52.78298,2.58
50.17323,2.585
58.83527,2.59
52.00676,2.595
61.92082,2.6
65.34851,2.605
49.60857,2.61
57.16727,2.615
60.68915,2.62
62,2.625
56.78298,2.63
52.31085,2.635
57.9193,2.64
48.0807,2.645
54.8426,2.65
55.39143,2.655
34.48488,2.66
39.01694,2.665
39.56908,2.67
37.78281,2.675
29.67085,2.68
22.31085,2.685
26.87265,2.69
16.0807,2.695
22,2.7
22.39144,2.705
3.594965,2.71
9.19006,2.715
11.61182,2.72
12,2.725
5.635689,2.73
-0.7731597,2.735
5.813376,2.74
-2.919299,2.745
6,2.75
7.608188,2.755
-9.391435,2.76
-1.747308,2.765
2.689153,2.77
4,2.775
-0.2056791,2.78
-4.689153,2.785
2.925411,2.79
-4.841448,2.795
4,2.8
7.391435,2.805
-9.391435,2.81
-1.782983,2.815
2.789038,2.82
4,2.825
-0.176932,2.83
-4.689153,2.835
2.942199,2.84
-4.919299,2.845
4,2.85
7.391435,2.855
-9.391435,2.86
-1.782983,2.865
2.697321,2.87
4,2.875
-0.2170171,2.88
-4.555297,2.885
2.919299,2.89
-4.919299,2.895
4,2.9
7.391435,2.905
-9.297535,2.91
-1.782983,2.915
2.77731,2.92
4.023653,2.925
-0.2170171,2.93
-4.689153,2.935
2.938034,2.94
-4.919299,2.945
4,2.95
7.391435,2.955
-9.336522,2.96
-1.729817,2.965
2.689153,2.97
4.083613,2.975
-0.2170171,2.98
-4.689153,2.985
3.043781,2.99
-4.919299,2.995
